12,243,1,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
H.215,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.211,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.207,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.203,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.190,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.184,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.178,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.172,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.167,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.163,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.162,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.152,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.156,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
25_14AN3_5_13A2180,13A2,136,138,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,270,0,341,341,0,173,173,0,205,213
H.66,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.103,13A2,138,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
2006_4132B_13A2_1,13A2,0,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.32,13A2,0,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.35,13A2,0,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.112,13A2,0,136,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.40,13A2,0,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.39,13A2,0,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.36,13A2,0,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.38,13A2,0,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.106,13A2,136,144,156,0,260,266,284,294,298,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.50,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,152,160,0,266,268,0,341,341,0,173,173,0,205,213
H.132,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,234,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G8,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,234,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.170,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,234,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.144,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,234,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.12,13A2,0,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,341,341,0,173,173,0,205,213
H.49,13A2,0,140,154,0,260,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G15,13A2,0,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G58,13A2,0,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.69,13A2,136,142,160,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.74,13A2,0,136,140,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.34,13A2,136,146,158,0,260,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.60,13A2,136,140,158,0,260,266,284,294,296,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.21,13A2,136,140,158,0,260,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.26,13A2,136,140,158,0,260,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.129,13A2,136,140,158,0,260,266,284,294,298,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.135,13A2,136,142,158,0,260,266,284,294,298,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.137,13A2,0,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.123,13A2,140,142,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.145,13A2,140,142,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.94,13A2,140,156,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.81,13A2,0,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.47,13A2,0,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.41,13A2,0,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.46,13A2,0,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.105,13A2,136,140,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.1,13A2,136,142,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G23,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.2,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.138,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
CRA_W_011_13A2118,13A2,136,138,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.139,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.136,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.133,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.130,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.127,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.119,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.101,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.100,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G7,13A2,136,144,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.166,13A2,136,144,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.48,13A2,136,144,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.62,13A2,136,144,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G40,13A2,136,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.86,13A2,136,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.142,13A2,136,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.3,13A2,136,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
