12,243,1,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
H.228,H.Int,0,136,136,0,260,260,0,294,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.90,H.Oco,136,140,152,0,260,264,0,284,284,0,166,166,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.63,H.Oco,136,136,162,0,260,266,284,292,296,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,272,0,341,341,0,173,173,0,205,213
H.10,H.Int,0,136,152,0,264,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.18,H.Int,0,0,0,0,264,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.240,H.Int,0,136,152,0,264,264,0,0,0,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.115,H.FrMz,144,146,150,0,260,266,284,292,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,264,266,268,0,341,341,0,173,173,0,205,213
H.113,H.FrMz,142,146,150,260,264,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,264,266,268,0,341,341,0,173,173,0,205,213
H.114,H.FrMz,142,146,150,260,264,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,264,266,268,0,341,341,0,173,173,0,205,213
H.88,H.Int,138,140,154,0,258,264,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.91,H.Int,134,140,154,0,258,264,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.44,H.Int,136,142,154,0,0,0,0,284,294,166,168,170,0,192,192,0,240,244,0,0,0,0,154,160,0,266,268,0,0,0,0,173,175,0,205,213
H.54,H.Int,0,136,142,260,262,266,284,294,298,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.52,H.Int,136,140,152,260,262,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.67,H.Int,136,140,158,260,264,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.19,H.Int,136,144,156,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.80,H.Int,136,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,329,341,0,173,173,0,205,213
H.95,H.Int,0,140,154,0,0,0,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,329,341,0,173,173,0,205,213
H.70,H.Int,136,140,158,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.72,H.Int,136,140,158,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.57,H.Int,136,140,160,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.68,H.Lemp,136,142,160,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.53,H.Int,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.13,H.Int,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.186,H.Int,136,140,150,0,260,266,0,284,294,0,166,166,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,205
H.193,H.Int,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.187,H.Int,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,331,341,0,173,173,0,205,213
H.168,H.Int,136,140,150,254,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.175,H.Int,136,140,150,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.159,H.Int,138,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.192,H.Int,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
G27,G.Sol,136,138,162,0,260,266,0,286,292,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,0,266,268,0,341,341,0,173,173,0,205,213
G64,G.Qtz,134,140,156,0,260,266,286,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G56,G.Qtz,134,136,158,0,260,266,286,294,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,0,266,268,0,341,341,0,173,173,0,205,213
H.124,H.Int,136,158,160,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,268,0,341,341,0,173,173,0,205,213
H.92,H.Int,0,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,266,0,341,341,0,173,173,0,205,213
